Glon_1,Glat_1,3_6mag,e_3_6mag,4_5mag,e_4_5mag,size,sources_cluster,tile,color_bin,sources_20_arcmin,sources_tile,significance,overdensity,comments,Separation
322.07734,0.309803,13.83913793,0.102241379,12.85996552,0.140689655,0.073832186,29,split_295.0_335.0/27_3.csv,0.6-4.0,143,215982,0.476835474,1.28,,0.144402603
322.65059,0.654456,13.91223077,0.111,13.14730769,0.155769231,0.055878084,13,split_295.0_335.0/27_3.csv,0.6-4.0,123,215982,0.282434752,2.79,,0.162465667
325.293577,0.349203,13.6217561,0.120317073,12.84958537,0.145658537,0.069834924,41,split_295.0_335.0/30_3.csv,0.6-4.0,204,215392,0.713709491,1.23,,0.083495065
325.772825,0.8359335,14.046,0.130555556,13.15988889,0.176111111,0.070440762,18,split_295.0_335.0/30_3.csv,0.6-4.0,60,215392,0.310640973,1.94,off,0.150449664
330.8260615,-0.9551375,13.45858333,0.127,12.55533333,0.15725,0.047653493,12,split_295.0_335.0/35_2.csv,0.6-4.0,63,283056,0.267039425,5.54,,0.193467607
330.539291,-0.906072,13.76826667,0.135066667,13.07233333,0.1648,0.039948606,15,split_295.0_335.0/35_2.csv,0.6-4.0,137,283056,0.398179148,4.75,,0.105792631
310.179186,-0.108658,13.15219048,0.125761905,12.14942857,0.131904762,0.039575979,21,split_295.0_335.0/15_3.csv,0.6-4.0,122,166917,0.732761097,4.59,,0.15937791
309.97052,0.3027,13.25008,0.10272,12.17312,0.12196,0.035530765,25,split_295.0_335.0/15_3.csv,0.6-4.0,255,166917,0.971650827,1.96,G3CC_14,0.07199901
309.91063,0.326014,13.92006061,0.121909091,12.97475758,0.13230303,0.056276621,33,split_295.0_335.0/15_3.csv,0.6-4.0,249,166917,0.809768172,1.02,,0.119172001
309.9920925,0.50179,13.31552174,0.10926087,12.16682609,0.116369565,0.034137142,46,split_295.0_335.0/15_3.csv,0.6-4.0,308,166917,1.860824679,6.36,G3CC_15,0.045001301
309.926286,0.463867,13.72561905,0.112714286,12.87561905,0.139714286,0.019402053,21,split_295.0_335.0/15_3.csv,0.6-4.0,315,166917,1.494673715,4.99,VVV_CL032,0.129047709
310.32968,0.5697695,13.872475,0.111625,13.0394,0.146925,0.071789414,40,split_295.0_335.0/15_3.csv,0.6-4.0,138,166917,0.769439297,2.97,,0.131357382
310.396285,0.112636,13.73453846,0.121807692,12.93096154,0.135884615,0.077919785,26,split_295.0_335.0/15_3.csv,0.6-4.0,146,166917,0.460787171,0.71,,0.140404238
300.2167305,-0.1114225,13.48486364,0.111409091,12.45704545,0.122363636,0.044275188,22,split_295.0_335.0/5_3.csv,0.6-4.0,68,123511,0.79769067,6.13,,0.136442502
