Glon,Glat,comments,3_6mag,e_3_6mag,4_5mag,e_4_5mag,size,sources_cluster,tile,color_bin,sources_20_arcmin,sources_tile,significance,overdensity
297.2697,-0.7467,[BRN2015]_La_Serena_17,13.61365,0.1091,12.5852,0.13215,0.06776575,20,split_295.0_335.0/2_2.csv,0.6-4.0,47,122812,0.475143079,3.47
300.2167,-0.1114,,13.48486364,0.111409091,12.45704545,0.122363636,0.044275188,22,split_295.0_335.0/5_3.csv,0.6-4.0,68,123511,0.79769067,6.13
47.0477,0.2464,,13.529,0.115833333,12.5017,0.1321,0.045401786,30,split_35.0_66.0/12_1.csv,0.6-4.0,113,175206,0.890633224,7.7
0.7168,-0.1704,,13.30442105,0.104684211,12.28184211,0.105105263,0.00520024,19,split_0.0_15.0/0_4.csv,0.6-4.0,7104,487724,2.951672587,6.12
19.9275,-0.2582,,13.19739394,0.11169697,12.17572727,0.119272727,0.036422024,33,split_15.0_35.0/4_2.csv,0.6-4.0,220,300860,0.931950186,2.57
331.71,0.5879,,13.69959524,0.104952381,12.6787381,0.13597619,0.031638941,42,split_295.0_335.0/36_3.csv,0.6-4.0,339,224040,1.582302924,9.02
328.0976,-0.3699,,13.957375,0.1290625,12.9395625,0.1413125,0.019333821,16,split_295.0_335.0/33_2.csv,0.6-4.0,379,204522,1.032422188,3.92
305.519,0.7637,,13.66935484,0.080193548,12.65296774,0.087258065,0.046888698,31,split_295.0_335.0/10_3.csv,0.6-4.0,91,138016,1.004046583,9.35
326.4784,0.7044,G3CC_26,13.63941667,0.109875,12.62408333,0.133416667,0.015885163,24,split_295.0_335.0/31_3.csv,0.6-4.0,358,199300,1.909373949,8.6
317.8032,0.4768,,13.64494737,0.135368421,12.63368421,0.158052632,0.069559617,19,split_295.0_335.0/22_3.csv,0.6-4.0,96,173857,0.36959441,1.9
37.4787,-0.1,,13.89063158,0.133,12.88021053,0.152684211,0.037298908,19,split_35.0_66.0/2_1.csv,0.6-4.0,285,194438,0.651766417,0.59
304.077,0.4041,,13.90876923,0.090692308,12.89876923,0.130692308,0.00978679,13,split_295.0_335.0/9_3.csv,0.6-4.0,330,143883,1.975711026,2.47
42.107,-0.4487,'[SUH2012]_G042.111-00.447',12.93164286,0.093071429,11.92285714,0.112928571,0.043232715,14,split_35.0_66.0/7_0.csv,0.6-4.0,147,152871,0.467280908,4.59
49.5625,-0.2723,,13.264,0.108318182,12.25709091,0.125681818,0.025932567,22,split_35.0_66.0/14_0.csv,0.6-4.0,178,124982,1.353874793,6.35
19.8856,-0.5282,,12.70094737,0.101736842,11.69436842,0.119157895,0.013067685,19,split_15.0_35.0/4_2.csv,0.6-4.0,374,300860,1.495539122,12
356.3722,0.5687,,13.04196154,0.092769231,12.03546154,0.115076923,0.031793481,26,split_350.0_360.0/6_5.csv,0.6-4.0,223,420949,0.711124424,3.4
327.7389,-0.3836,,13.53832258,0.118709677,12.532,0.126225806,0.035583115,31,split_295.0_335.0/32_2.csv,0.6-4.0,304,193455,1.117513599,7.76
330.9251,-0.4019,,13.22163636,0.109090909,12.21586364,0.127,0.02686486,22,split_295.0_335.0/36_2.csv,0.6-4.0,357,234565,0.953963073,3.27
304.0251,0.2984,,13.716,0.102055556,12.71108333,0.111833333,0.047360622,36,split_295.0_335.0/9_3.csv,0.6-4.0,356,143883,1.130590753,3.81
43.1572,0.034,'[BDS2003]_132',13.23528205,0.126025641,12.23046154,0.145076923,0.06044913,39,split_35.0_66.0/8_1.csv,0.6-4.0,250,179873,0.858255558,1.51
350.5053,-0.3946,,13.63717391,0.113086957,12.6336087,0.110434783,0.017754634,23,split_350.0_360.0/0_4.csv,0.6-4.0,430,373558,1.195809948,5.48
310.1792,-0.1087,,13.15219048,0.125761905,12.14942857,0.131904762,0.039575979,21,split_295.0_335.0/15_3.csv,0.6-4.0,122,166917,0.732761097,4.59
352.1621,0.4037,,13.19126316,0.102105263,12.18905263,0.146526316,0.013936517,19,split_350.0_360.0/2_4.csv,0.6-4.0,264,363712,1.275397649,8.69
350.9738,-0.3648,,13.1905,0.095846154,12.18946154,0.112961538,0.024565946,26,split_350.0_360.0/0_4.csv,0.6-4.0,254,373558,0.976980498,1.98
3.1802,-3.0234,,12.46316667,0.103666667,11.46433333,0.137583333,0.063798587,12,split_0.0_15.0/3_1.csv,0.6-4.0,38,165204,0.261086835,3.1
37.7562,0.1961,,13.17226667,0.095133333,12.17386667,0.137333333,0.019911364,15,split_35.0_66.0/2_1.csv,0.6-4.0,351,194438,0.963883931,4.54
