,Glon,Glat,GLIMPSE,S,C,Jmag,e_Jmag,Kmag,e_Kmag,3_6mag,e_3_6mag,4_5mag,e_4_5mag,5_8mag,e_5_8mag,8_0mag,e_8_0mag
1091,284.239531,0.759344,G284.2395+00.7593,1,A,15.671,0.067,14.661,0.108,14.575,0.094,,,,,,
1092,284.23934,0.760944,G284.2393+00.7609,1,A,16.177,0.096,15.147,0.171,14.563,0.099,,,,,,
1093,284.240826,0.765603,G284.2408+00.7656,1,C,14.756,0.044,13.311,0.043,13.066,0.068,,,,,,
1094,284.239076,0.764797,G284.2390+00.7648,1,A,,,,,13.588,0.112,,,,,,
1095,284.239451,0.755972,G284.2394+00.7559,1,C,15.105,0.043,14.341,0.09,13.96,0.079,,,,,,
1096,284.237548,0.757581,G284.2375+00.7575,1,C,13.995,0.028,13.298,0.045,13.104,0.071,,,12.823,0.203,,
1097,284.235267,0.755972,G284.2352+00.7559,1,C,11.625,0.023,10.448,0.023,10.326,0.046,,,10.228,0.047,,
1098,284.23844,0.764383,G284.2384+00.7643,1,A,,,,,12.066,0.077,,,11.693,0.121,,
1099,284.238237,0.763731,G284.2382+00.7637,1,A,,,,,12.756,0.105,,,,,,
1100,284.232975,0.763811,G284.2329+00.7638,1,C,12.996,0.03,11.603,0.045,11.412,0.046,,,11.324,0.078,,
1101,284.23417,0.764028,G284.2341+00.7640,1,C,12.866,0.051,12.45,0.033,12.46,0.056,,,12.615,0.201,,
1102,284.233939,0.765783,G284.2339+00.7657,1,C,14.692,0.044,13.201,0.043,12.862,0.058,,,12.248,0.173,,
1103,284.230075,0.765983,G284.2300+00.7659,1,A,16.126,0.106,14.933,0.131,14.732,0.148,,,,,,
1104,284.261814,0.764608,G284.2618+00.7646,1,A,14.909,0.05,14.237,0.084,14.204,0.09,,,,,,
1105,284.259911,0.766911,G284.2599+00.7669,1,C,14.156,0.039,12.392,0.037,11.899,0.075,,,11.854,0.121,,
1106,284.256625,0.763428,G284.2566+00.7634,1,C,11.389,0.026,11.131,0.029,11.135,0.053,,,11.291,0.085,,
1107,284.262214,0.7685,G284.2622+00.7685,1,C,13.807,0.026,13.424,0.044,13.466,0.071,,,12.229,0.238,,
1108,284.260045,0.770039,G284.2600+00.7700,1,A,15.349,0.07,14.821,0.137,14.339,0.103,,,,,,
